recall_number,recall_date,make,model,year_range,affected_units,reason,link
REC-006396,30-Jul-25,BMW,X3,2024 - 2025,326,"Due to a manufacturing defect, the outer head restraints of the rear row seats may not be manufactured correctly. As a result, they may move or detach from the seat in an event of an accident. Due to a manufacturing defect, the outer head restraints of the rear row seats may not be manufactured correctly. As a result, they may move or detach from the seat in an event of an accident. What are the hazards? If the head restraints move or become detached, it could increase the risk of injury or death to vehicle occupants.",https://www.vehiclerecalls.gov.au/recalls/rec-006396
REC-006397,29-Jul-25,PEUGEOT,"308 (P5), 408 (P54), 2008 (P24), 3008 (P64), 5008 (P74)",2024 - 2025,934,"Due to a manufacturing defect, the threaded connection between the high-pressure fuel pump and the fuel rail may become loose. If this occurs, fuel may leak in the presence of an external ignition source and could result in a vehicle fire. Due to a manufacturing defect, the threaded connection between the high-pressure fuel pump and the fuel rail may become loose. If this occurs, fuel may leak in the presence of an external ignition source and could result in a vehicle fire. What are the hazards? A vehicle fire could increase the risk of injury or death to vehicle occupants, other road users and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-006397
REC-006399,1-Aug-25,Ford,Transit Custom / Tourneo,2023 - 2025,47,"Due to a manufacturing issue, the passenger airbag inflator may rupture in the event of airbag deployment. Due to a manufacturing issue, the passenger airbag inflator may rupture in the event of airbag deployment. What are the hazards? In the event of an airbag inflator rupture, compressed gas and metal fragments may be propelled through the airbag cushion towards the vehicle occupants, or damage to the airbag cushion or complete loss of airbag functionality may occur, causing serious injury or death.",https://www.vehiclerecalls.gov.au/recalls/rec-006399
REC-006400,1-Aug-25,Ford,MUSTANG,2021 - 2022,"2,039","Due to a manufacturing defect, the fuel pump impeller may not operate as intended. If this occurs, it could impair the fuel supply to the engine and result in a loss of motive power whilst driving. Due to a manufacturing defect, the fuel pump impeller may not operate as intended. If this occurs, it could impair the fuel supply to the engine and result in a loss of motive power whilst driving. What are the hazards? A loss of motive power whilst driving increases the risk of an accident, causing serious injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-006400
REC-006401,1-Aug-25,Ford,"Endure, Escape, Range, Mustang and Focus",2018 - 2023,167,"Due to an error in the SYNC software, the rear-view camera may not display the rear-view image whilst reversing or the rear-view image may remain on display after reversing. Additionally, this may cause the infotainment screen to display a blank image, an incorrect language setting, and/or potential inability to perform software updates. Due to an error in the SYNC software, the rear-view camera may not display the rear-view image whilst reversing or the rear-view image may remain on display after reversing. Additionally, this may cause the infotainment screen to display a blank image, an incorrect language setting, and/or potential inability to perform software updates.",https://www.vehiclerecalls.gov.au/recalls/rec-006401
REC-006402,7-Aug-25,LAMBORGHINI,Revuelto,2023 - 2024,2,"The pin that supports the door gas springs may not have been assembled according to manufacturing specifications and could become loose and/or detach. If this occurs when in the open position the door may descend downwards with significant force on the driver or passenger. Additionally, excess force may be required to open the door from the inside of the vehicle and the occupant may need extra time to exit the vehicle. The pin that supports the door gas springs may not have been assembled according to manufacturing specifications and could become loose and/or detach. If this occurs when in the open position the door may descend downwards with significant force on the driver or passenger. Additionally, excess force may be required to open the door from the inside of the vehicle and the occupant may need extra time to exit the vehicle.",https://www.vehiclerecalls.gov.au/recalls/rec-006402
REC-006403,5-Aug-25,PEUGEOT,308 Wagon (T92),2015 - 2018,199,"The upper anchorage points for the seatbelts in the second-row left and right-hand seating positions may not meet load specifications. As a result, the seat belt may not operate as intended. The upper anchorage points for the seatbelts in the second-row left and right-hand seating positions may not meet load specifications. As a result, the seat belt may not operate as intended. What are the hazards? If the seat belt does not operate as intended, the occupant may not receive the full protection of the seatbelt system. This could increase the risk of injury or death to vehicle occupants.",https://www.vehiclerecalls.gov.au/recalls/rec-006403
REC-006404,7-Aug-25,LAND ROVER,Discovery and Range Rover,2021 - 2025,322,"Due to a software issue, the high voltage battery may discharge when driving in EV mode. As a result, the vehicle may experience a loss of motive power whilst driving and an inability to restart the engine. Due to a software issue, the high voltage battery may discharge when driving in EV mode. As a result, the vehicle may experience a loss of motive power whilst driving and an inability to restart the engine. What are the hazards? A sudden loss of motive power whilst driving increases the risk of an accident, causing serious injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-006404
REC-006406,25-Aug-25,Chevrolet,Camaro ZL1,2020 - 2021,59,"Due to a manufacturing defect, the transmission control valve may lose pressure. As a result, changing gears may become more difficult and the vehicle’s wheels may become momentarily locked. Due to a manufacturing defect, the transmission control valve may lose pressure. As a result, changing gears may become more difficult and the vehicle’s wheels may become momentarily locked. What are the hazards? If the vehicle’s wheels become locked whilst driving, it could increase the risk of an accident causing injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-006406
REC-006407,26-Aug-25,FIAT,Ducato Series 2,2024 - 2025,525,"Due to a software issue, the Automatic Emergency Brake (AEB) function may not reactivate when manually turned off and then on during the same ignition cycle. In addition, the AEB icon may not illuminate to alert the driver as intended. Due to a software issue, the Automatic Emergency Brake (AEB) function may not reactivate when manually turned off and then on during the same ignition cycle. In addition, the AEB icon may not illuminate to alert the driver as intended. What are the hazards? A loss of safety systems such as AEB could increase the risk of an accident causing injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-006407
REC-006408,22-Aug-25,Ford,F-150,2023 - 2025,"6,415","Due to a manufacturing defect, the rear wheel hub bolts may become loose or break causing damage to the wheel axle and axle hub splines over time. This could result in the vehicle moving whilst engaged in park position or a loss of motive power. Note: A broken wheel hub bolt will not result in wheel separation. Due to a manufacturing defect, the rear wheel hub bolts may become loose or break causing damage to the wheel axle and axle hub splines over time. This could result in the vehicle moving whilst engaged in park position or a loss of motive power. Note: A broken wheel hub bolt will not result in wheel separation.",https://www.vehiclerecalls.gov.au/recalls/rec-006408
REC-006409,22-Aug-25,Ford,"MUSTANG, RANGER, EVEREST",2025,13,"Due to a manufacturing defect, the transmission main valve body may not meet engineering specifications. As a result, when the gear selector is placed into the reverse position the vehicle may fail to reverse and/or move forward inadvertently when placed into reverse or neutral position. Note: The Malfunction Indicator Light (MIL) and Wrench light will illuminate when the malfunction occurs. Due to a manufacturing defect, the transmission main valve body may not meet engineering specifications. As a result, when the gear selector is placed into the reverse position the vehicle may fail to reverse and/or move forward inadvertently when placed into reverse or neutral position. Note: The Malfunction Indicator Light (MIL) and Wrench light will illuminate when the malfunction occurs.",https://www.vehiclerecalls.gov.au/recalls/rec-006409
REC-006410,26-Aug-25,GWM,Cannon Alpha,2023 - 2025,"2,457","Due to a manufacturing defect, the Electronic Power Steering wiring harness may come into contact with the driveshaft when driving and become damaged. As a result, the vehicle may experience a loss of power steering or engine shutdown without warning. Due to a manufacturing defect, the Electronic Power Steering wiring harness may come into contact with the driveshaft when driving and become damaged. As a result, the vehicle may experience a loss of power steering or engine shutdown without warning. What are the hazards? A sudden loss of power steering while driving and/or an engine shutdown increases the risk of an accident causing serious injury or death to vehicle occupants, other road users and bystanders.",https://www.vehiclerecalls.gov.au/recalls/rec-006410
REC-006413,2-Sep-25,ASTON MARTIN,Vanquish,2024 - 2025,13,"A software error may cause the vacuum pump to malfunction. As a result, braking assistance could be reduced, requiring greater pedal force and potentially increasing the vehicle’s stopping distance. A software error may cause the vacuum pump to malfunction. As a result, braking assistance could be reduced, requiring greater pedal force and potentially increasing the vehicle’s stopping distance. What are the hazards? A reduction in braking performance could increase the risk of an accident causing serious injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-006413
REC-006414,29-Aug-25,Mercedes-Benz,Certain EQE and GLC vehicles,2022 - 2025,403,"Due to a manufacturing defect, the steering coupling bolts may not meet specifications and could become loose. This can result in a loss of steering control. Due to a manufacturing defect, the steering coupling bolts may not meet specifications and could become loose. This can result in a loss of steering control. What are the hazards? A loss of steering control could increase the risk of an accident causing injury or death to vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-006414
REC-006415,1-Sep-25,Chevrolet,Corvette,2022 - 2025,134,"Due to a design defect, fuel spilled into the fuel filler pocket whilst refuelling can come in contact with an ignition source resulting in a vehicle fire. Note: General Motors advises owners to always follow the fuelling instructions detailed in their owner’s manual. Due to a design defect, fuel spilled into the fuel filler pocket whilst refuelling can come in contact with an ignition source resulting in a vehicle fire. Note: General Motors advises owners to always follow the fuelling instructions detailed in their owner’s manual. What are the hazards? A vehicle fire could increase the risk of injury or death to vehicle occupants, other road users and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-006415
REC-006417,1-Sep-25,Ford,"Mustang, Mach E",2025,452,"Due to a programming issue, the Light Emitting Diode Driver Control Module (LDM) may fail. As a result, high beam, low beam, position lamps and daytime running lamps may not operate as intended. Due to a programming issue, the Light Emitting Diode Driver Control Module (LDM) may fail. As a result, high beam, low beam, position lamps and daytime running lamps may not operate as intended. What are the hazards? Lighting features not operating as intended may reduce the driver’s visibility. Additionally, other road users may be unable to identify the vehicle in dark conditions increasing the risk of an accident causing serious injury or death to vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-006417
REC-006419,29-Aug-25,TESLA,Y,2025,"7,301","Due to a software issue, the driver side window’s automatic protection system may not operate as intended and result in the window closing with excessive force on any obstruction such as a body part. Due to a software issue, the driver side window’s automatic protection system may not operate as intended and result in the window closing with excessive force on any obstruction such as a body part. What are the hazards? If a body part is in the window space when the driver's side window is closing, it can increase the risk of injury to a vehicle occupant.",https://www.vehiclerecalls.gov.au/recalls/rec-006419
REC-006420,5-Sep-25,CADILLAC,LYRIQ,2024 - 2025,42,"Due to a software issue, the headlamp high beam auto control may not detect oncoming bicycle/motorcycle traffic. If this occurs, the headlamps may not switch from high to low beam and result in excessive glare to oncoming riders. Due to a software issue, the headlamp high beam auto control may not detect oncoming bicycle/motorcycle traffic. If this occurs, the headlamps may not switch from high to low beam and result in excessive glare to oncoming riders. What are the hazards? Excessive glare to oncoming bicycle/motorcycle riders could increase the risk of an accident causing injury to vehicle occupants or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-006420
REC-006421,4-Sep-25,PEUGEOT,"3008 (P84), 5008 (P87)",2018 - 2022,286,"Due to a software issue, the Selective Catalytic Reduction (SCR) may not operate as intended. This could result in the AdBlue low level warning light not illuminating. A software update is required to ensure the correct operation of the warning light. Due to a software issue, the Selective Catalytic Reduction (SCR) may not operate as intended. This could result in the AdBlue low level warning light not illuminating. A software update is required to ensure the correct operation of the warning light. What are the hazards? There is no safety hazard associated with this recall and the defect will not affect the performance of the vehicle. Vehicles that experience this issue may not comply with Australian Design Rule 79/04 – Emission Control for Light Vehicles.",https://www.vehiclerecalls.gov.au/recalls/rec-006421
REC-006422,1-Sep-25,HYUNDAI,i30 (PD),2020 - 2021,"18,634","Due to a manufacturing defect, the fuel pump impeller may become deformed under certain environmental conditions, interrupting the fuel supply. If this occurs, the engine could stall resulting in a sudden loss of motive power. Due to a manufacturing defect, the fuel pump impeller may become deformed under certain environmental conditions, interrupting the fuel supply. If this occurs, the engine could stall resulting in a sudden loss of motive power. What are the hazards? A sudden loss of motive power whilst driving may increase the risk of an accident causing injury or death to vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-006422
REC-006426,10-Sep-25,LEXUS,Lexus UX300e (KMA10R),2021 - 2023,303,"Due to a manufacturing defect, the electric heater element within the Heating Ventilation Air Conditioning (HVAC) system may deteriorate over time. If this occurs, the windscreen defrost function may not operate correctly and could lead to poor visibility for the driver. Due to a manufacturing defect, the electric heater element within the Heating Ventilation Air Conditioning (HVAC) system may deteriorate over time. If this occurs, the windscreen defrost function may not operate correctly and could lead to poor visibility for the driver. What are the hazards? Poor visibility will potentially increase the risk of an accident, causing serious injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-006426
REC-006427,10-Sep-25,LEXUS,RZ (XEBM15R),2023,523,"Due to a software programming issue, the Heating Ventilation Air Conditioning (HVAC) electrical compressor may fail. If this occurs, the windscreen defrost function may not operate correctly and could lead to poor visibility for the driver. Due to a software programming issue, the Heating Ventilation Air Conditioning (HVAC) electrical compressor may fail. If this occurs, the windscreen defrost function may not operate correctly and could lead to poor visibility for the driver. What are the hazards? Poor visibility will potentially increase the risk of an accident, causing serious injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-006427
REC-006428,10-Sep-25,Toyota,"bZ4X (XEAM10R, YEAM15R)",2023 - 2025,"1,583","Due to a software programming issue, the Heating Ventilation Air Conditioning (HVAC) electrical compressor may fail. If this occurs, the windscreen defrost function may not operate correctly and could lead to poor visibility for the driver. Due to a software programming issue, the Heating Ventilation Air Conditioning (HVAC) electrical compressor may fail. If this occurs, the windscreen defrost function may not operate correctly and could lead to poor visibility for the driver. What are the hazards? Poor visibility will potentially increase the risk of an accident, causing serious injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-006428
REC-006429,11-Sep-25,Ford,Everest,2021,701,"Due to a manufacturing defect, the tow bar hitch may not have been welded to the required specifications and could detach from the tow bar whilst driving. Note: Whilst towing a caravan/trailer, it would remain attached to the tow vehicle if the safety chains have been correctly fitted. Due to a manufacturing defect, the tow bar hitch may not have been welded to the required specifications and could detach from the tow bar whilst driving. Note: Whilst towing a caravan/trailer, it would remain attached to the tow vehicle if the safety chains have been correctly fitted. What are the hazards? If the tow bar hitch detaches from the vehicle whilst towing, it could increase the risk of an accident causing injury or death to other road users and bystanders.",https://www.vehiclerecalls.gov.au/recalls/rec-006429
REC-006430,12-Sep-25,Ford,Ranger,2024 - 2025,"1,643","Due to a software issue, the brake boost function may not operate as intended. As a result, braking could be reduced requiring greater pedal force and potentially increasing the vehicle’s stopping distance. Note: If this occurs, the Anti-lock Brake System (ABS), Electronic Stability Control (ESC), and Brake telltales will illuminate warning lights and audible alert on the instrument cluster. Due to a software issue, the brake boost function may not operate as intended. As a result, braking could be reduced requiring greater pedal force and potentially increasing the vehicle’s stopping distance. Note: If this occurs, the Anti-lock Brake System (ABS), Electronic Stability Control (ESC), and Brake telltales will illuminate warning lights and audible alert on the instrument cluster.",https://www.vehiclerecalls.gov.au/recalls/rec-006430
REC-006432,12-Sep-25,SUBARU,SOLTERRA,2023 - 2025,460,"Due to the programming of the Heating, Ventilation, and Air Conditioning (HVAC) control ECU software. Under certain conditions, such as a specific failure mode of the electric compressor, the HVAC system will enter a failsafe mode that suspends the heater operation of the system and affects defroster function. Due to the programming of the Heating, Ventilation, and Air Conditioning (HVAC) control ECU software. Under certain conditions, such as a specific failure mode of the electric compressor, the HVAC system will enter a failsafe mode that suspends the heater operation of the system and affects defroster function.",https://www.vehiclerecalls.gov.au/recalls/rec-006432
REC-006434,15-Sep-25,Mazda,"CX-70 (KJ), CX-80 (KL), CX-90 (KK)",2023 - 2025,"5,081","Due to a software programming issue of the Body Control Module (BCM), the instrument cluster fuel level may not operate as intended. This may result in an incorrect display of fuel level and therefore the driver may not be aware when the fuel tank becomes empty. Due to a software programming issue of the Body Control Module (BCM), the instrument cluster fuel level may not operate as intended. This may result in an incorrect display of fuel level and therefore the driver may not be aware when the fuel tank becomes empty. What are the hazards? If the fuel tank becomes empty whilst driving, it may lead to a sudden loss of motive power increasing the risk of an accident causing injury or death to vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-006434
REC-006435,17-Sep-25,Ford,F150,2020 - 2022,32,"Due to a manufacturing defect, the rear wheel hub bolts may become loose or break causing damage to the wheel axle and axle hub splines over time. This could result in the vehicle moving whilst engaged in park position or a loss of motive power. Note: A broken wheel hub bolt will not result in wheel separation. Due to a manufacturing defect, the rear wheel hub bolts may become loose or break causing damage to the wheel axle and axle hub splines over time. This could result in the vehicle moving whilst engaged in park position or a loss of motive power. Note: A broken wheel hub bolt will not result in wheel separation.",https://www.vehiclerecalls.gov.au/recalls/rec-006435
REC-006436,19-Sep-25,Ford,Super Duty,2024 - 2025,20,"Due to a software issue, when the vehicle starts the Instrument Panel Cluster (IPC) may fail to illuminate visual critical safety information upon start-up. Due to a software issue, when the vehicle starts the Instrument Panel Cluster (IPC) may fail to illuminate visual critical safety information upon start-up. What are the hazards? A loss of critical safety warning information whilst driving, could increase the risk of an accident causing injury or death to vehicle occupants, other road user and bystanders.",https://www.vehiclerecalls.gov.au/recalls/rec-006436
REC-006439,23-Sep-25,Ford,Mustang,2022 - 2025,"7,222","Due to a manufacturing defect, the Body Control Module (BCM) may be susceptible to water ingress. As a result, the front and rear side marker lamps, taillamps, and license plate lamps may not operate as intended. Due to a manufacturing defect, the Body Control Module (BCM) may be susceptible to water ingress. As a result, the front and rear side marker lamps, taillamps, and license plate lamps may not operate as intended. What are the hazards? Lighting features not operating as intended may reduce the driver’s visibility. Additionally, other road users may be unable to identify the vehicle in dark conditions increasing the risk of an accident causing serious injury or death to vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-006439
REC-006441,30-Sep-25,VOLKSWAGEN,Amarok,2025,646,"Due to a software issue, the electromechanical brake servo control unit may switch off. As a result, the braking assistance could be reduced, requiring greater pedal force and potentially increasing the vehicle’s stopping distance. Due to a software issue, the electromechanical brake servo control unit may switch off. As a result, the braking assistance could be reduced, requiring greater pedal force and potentially increasing the vehicle’s stopping distance. What are the hazards? A reduction in braking performance could increase the risk of an accident causing serious injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-006441
REC-006442,8-Oct-25,MINI,"Cooper S, Cooper C, Countryman, JCW, & JCW Countryman",2025,99,"Due to a manufacturing defect, the front passenger and/or driver seatbelts may not meet the required specifications. As a result, the seatbelt(s) may not operate as intended in the event of an accident. Due to a manufacturing defect, the front passenger and/or driver seatbelts may not meet the required specifications. As a result, the seatbelt(s) may not operate as intended in the event of an accident. What are the hazards? In the event of an accident, if the seat belt(s) does not operate as intended, the occupant may not receive the full protection of the seatbelt system. This could increase the risk of injury or death to vehicle occupants.",https://www.vehiclerecalls.gov.au/recalls/rec-006442
REC-006443,10-Oct-25,Ford,MUSTANG,2015 - 2018,"24,476","Due to a manufacturing issue, the rear-view camera may not display the rear-view image whilst reversing as intended. Due to a manufacturing issue, the rear-view camera may not display the rear-view image whilst reversing as intended. What are the hazards? If the rear-view camera does not operate as intended while reversing the vehicle, it could increase the risk of an accident causing serious injury or death to persons located behind the vehicle.",https://www.vehiclerecalls.gov.au/recalls/rec-006443
REC-006444,8-Oct-25,Mazda,MX-5 (ND),2015 - 2018,"1,174","Due to a manufacturing defect, the fuel pipe may become damaged over time, caused by vibration and extended high RPM usage. If this occurs, fuel may leak potentially causing a loss of motive power whilst driving. Fuel leak in the presence of an external ignition source could result in a vehicle fire. Due to a manufacturing defect, the fuel pipe may become damaged over time, caused by vibration and extended high RPM usage. If this occurs, fuel may leak potentially causing a loss of motive power whilst driving. Fuel leak in the presence of an external ignition source could result in a vehicle fire.",https://www.vehiclerecalls.gov.au/recalls/rec-006444
REC-006445,8-Oct-25,LAMBORGHINI,Urus SE,2025,2,"Due to a supplier manufacturing defect, the high-pressure fuel pump may not have been fastened to the cylinder head with sufficient torque. As a result, fuel may leak, and in the presence of an external ignition source lead to a vehicle fire. Due to a supplier manufacturing defect, the high-pressure fuel pump may not have been fastened to the cylinder head with sufficient torque. As a result, fuel may leak, and in the presence of an external ignition source lead to a vehicle fire. What are the hazards? A vehicle fire could increase the risk of injury or death to vehicle occupants, other road users and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-006445
REC-006446,8-Oct-25,BMW,"320d, 320i, 330i, 420i, 430i, 520d, 520i, 530i, 620d, 630i, X3, X4 & Z4",2016 - 2020,"15,352","Due to a manufacturing defect, inadequate sealing of the starter motor may allow moisture to enter into the unit. If this occurs, corrosion may result in the engine not starting. In rare cases, it could also cause a short circuit leading to overheating of the starter motor and in the worst case, to a vehicle fire while parked or driving. Due to a manufacturing defect, inadequate sealing of the starter motor may allow moisture to enter into the unit. If this occurs, corrosion may result in the engine not starting. In rare cases, it could also cause a short circuit leading to overheating of the starter motor and in the worst case, to a vehicle fire while parked or driving.",https://www.vehiclerecalls.gov.au/recalls/rec-006446
REC-006450,16-Oct-25,NISSAN,J12 Qashqai,2022 - 2024,"13,706","Due to a manufacturing defect, the fuel pipe may chafe against the support bracket and become damaged. If this occurs fuel may leak, potentially resulting in loss of motive power whilst driving, and if in the presence of an external ignition source may result in a vehicle fire. Due to a manufacturing defect, the fuel pipe may chafe against the support bracket and become damaged. If this occurs fuel may leak, potentially resulting in loss of motive power whilst driving, and if in the presence of an external ignition source may result in a vehicle fire. What are the hazards? A loss of motive power or vehicle fire could increase the risk of injury or death to vehicle occupants, other road users or bystanders and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-006450
REC-006451,17-Oct-25,Ford,MUSTANG,2024,45,"Due to a software issue, the Instrument Panel Cluster (IPC) may fail to illuminate the visual and audible warnings for seat belt, vehicle speed, fuel level, engine status and other critical safety information. Due to a software issue, the Instrument Panel Cluster (IPC) may fail to illuminate the visual and audible warnings for seat belt, vehicle speed, fuel level, engine status and other critical safety information. What are the hazards? A loss of safety system warnings whilst driving, could increase the risk of an accident causing injury or death to vehicle occupants, other road users and bystanders.",https://www.vehiclerecalls.gov.au/recalls/rec-006451
REC-006453,17-Oct-25,Ford,MUSTANG MACH-E,2023 - 2025,367,Incorrect fuel consumption and emission data has been provided on the fuel consumption label. Incorrect fuel consumption and emission data has been provided on the fuel consumption label. What are the hazards? There is no safety hazard associated with this recall and the defect will not affect the performance of the vehicle. Vehicles are not compliant with Australian Design Rule 81/02 - Fuel Consumption Labelling for Light Vehicles.,https://www.vehiclerecalls.gov.au/recalls/rec-006453
REC-006455,20-Oct-25,PORSCHE,Panamera (YAA),2023 - 2025,142,"Due to a manufacturing issue, the wiring harness between the door pressure sensor and the airbag control unit has an incorrect connector pin allocation. Due to a manufacturing issue, the wiring harness between the door pressure sensor and the airbag control unit has an incorrect connector pin allocation. What are the hazards? An incorrectly assigned sensor can delay the side airbag trigger in crash situations. A delayed trigger of the side airbag can increase the risk of injury or death to vehicle occupants.",https://www.vehiclerecalls.gov.au/recalls/rec-006455
REC-006460,22-Oct-25,RAM,1500 DS 3.0 ECO DIESEL,2017 - 2019,423,"Due to a software issue with the Powertrain Control Module (PCM), the signal from the crankshaft position sensor may fail. As a result, the vehicle may experience a loss of motive power whilst driving and an inability to restart the engine. Due to a software issue with the Powertrain Control Module (PCM), the signal from the crankshaft position sensor may fail. As a result, the vehicle may experience a loss of motive power whilst driving and an inability to restart the engine. What are the hazards? A loss of motive power whilst driving could increase the risk of an accident and injury to vehicle occupants or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-006460
REC-006465,29-Oct-25,VOLKSWAGEN,Tiguan,2024 - 2025,"1,482","Due to a software issue, if the driver does not have their hands on the steering wheel for an extended period, the brake jolt triggered by the Emergency Assist (EA) or Travel Assist (TA) assistance functions meant to alert the driver may be misinterpreted as the driver braking. As a result, the Emergency Assist (EA) or Travel Assist (TA) assistance functions are deactivated. Note: The instrument cluster may fail to illuminate the visual and audible warnings that the safety functions are deactivated. Due to a software issue, if the driver does not have their hands on the steering wheel for an extended period, the brake jolt triggered by the Emergency Assist (EA) or Travel Assist (TA) assistance functions meant to alert the driver may be misinterpreted as the driver braking. As a result, the Emergency Assist (EA) or Travel Assist (TA) assistance functions are deactivated. Note: The instrument cluster may fail to illuminate the visual and audible warnings that the safety functions are deactivated.",https://www.vehiclerecalls.gov.au/recalls/rec-006465
REC-006466,29-Oct-25,Ford,E-TRANSIT,2021 - 2025,278,"Due to a manufacturing defect, the 12-volt battery vent may not operate as intended. As a result, under certain driving conditions such as high temperatures toxic gases may leak into the cabin. Note: Occupants may experience hissing sound, smell of acid or rotten eggs, a visible gas leak and/or heat in seat. Due to a manufacturing defect, the 12-volt battery vent may not operate as intended. As a result, under certain driving conditions such as high temperatures toxic gases may leak into the cabin. Note: Occupants may experience hissing sound, smell of acid or rotten eggs, a visible gas leak and/or heat in seat.",https://www.vehiclerecalls.gov.au/recalls/rec-006466
REC-006468,3-Nov-25,MG,MG3,2024 - 2025,"10,516","In the event of collision, the inner side of the cushion frame may move forward and downwards much further than expected, inadvertently contacting the unlocking lever and then the locking pin, thereby causing the inboard rail to unlock. In the event of collision, the inner side of the cushion frame may move forward and downwards much further than expected, inadvertently contacting the unlocking lever and then the locking pin, thereby causing the inboard rail to unlock. What are the hazards? In the event of an accident if the driver seat moves excessively, it could increase the risk of injury or death to vehicle occupants.",https://www.vehiclerecalls.gov.au/recalls/rec-006468
REC-006471,5-Nov-25,Ford,MUSTANG,2023 - 2025,37,"The affected vehicles are provided with supercharger upgrade kits that include a Powertrain Control Module (PCM) that may experience a software error and disable functional safety features. This may result in unintended acceleration and/or vehicle movement. The affected vehicles are provided with supercharger upgrade kits that include a Powertrain Control Module (PCM) that may experience a software error and disable functional safety features. This may result in unintended acceleration and/or vehicle movement. What are the hazards? An unintended acceleration and/or vehicle movement whilst driving could increase the risk of an accident, causing serious injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-006471
REC-006473,5-Nov-25,AUDI,"Q7, Q8",2019 - 2024,33,"Due to a manufacturing issue, the modules installed in the high voltage battery may be defective. During charging a thermal overload could result in a vehicle fire. Due to a manufacturing issue, the modules installed in the high voltage battery may be defective. During charging a thermal overload could result in a vehicle fire. What are the hazards? A vehicle fire could increase the risk of injury or death to vehicle occupants, other road users, bystanders and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-006473
REC-006475,10-Nov-25,Mercedes-Benz,Certain EQA and EQB vehicles,2023 - 2024,6,"Due to a software issue, the high voltage battery may short circuit if charged over 80 percent capacity. If this occurs, the battery could overheat and lead to a vehicle fire. Due to a software issue, the high voltage battery may short circuit if charged over 80 percent capacity. If this occurs, the battery could overheat and lead to a vehicle fire. What are the hazards? A vehicle fire could increase the risk of serious injury or death to vehicle occupants, other road users, and bystanders, and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-006475
REC-006478,11-Nov-25,LEXUS,GX550 (VJA252R) & LX600 (VJA310R),2022 - 2024,789,"Due to a manufacturing defect, there is a possibility of engine machining debris contamination within the engine. This could lead to potential engine knocking, rough running and/or stalling during operation causing a loss of motive power. Due to a manufacturing defect, there is a possibility of engine machining debris contamination within the engine. This could lead to potential engine knocking, rough running and/or stalling during operation causing a loss of motive power. What are the hazards? A loss of motive power or engine stalling whilst driving could increase the risk of an accident causing injury or death to vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-006478
REC-006483,25-Nov-25,Ford,F150,2023,"3,166","Due to a manufacturing defect, the fuel vapour line may come into contact with the coolant hose and become damaged. This may result in a fuel smell and/or a coolant leak and may cause an engine compartment fire. In addition, the vehicle may experience excessive coolant consumption, lack of heater performance, reduced engine performance and drivability issues. Note: If excessive coolant consumption occurs, the malfunction indicator warning light will display in the instrument cluster. Due to a manufacturing defect, the fuel vapour line may come into contact with the coolant hose and become damaged. This may result in a fuel smell and/or a coolant leak and may cause an engine compartment fire. In addition, the vehicle may experience excessive coolant consumption, lack of heater performance, reduced engine performance and drivability issues. Note: If excessive coolant consumption occurs, the malfunction indicator warning light will display in the instrument cluster.",https://www.vehiclerecalls.gov.au/recalls/rec-006483
REC-006484,21-Nov-25,LAND ROVER,Range Rover,2018,1,"Due to a manufacturing defect, the high voltage battery may experience cell degradation. This can result in a loss of motive power and a vehicle fire. Due to a manufacturing defect, the high voltage battery may experience cell degradation. This can result in a loss of motive power and a vehicle fire. What are the hazards? A loss of motive power or vehicle fire could increase the risk of injury or death to vehicle occupants, other road users, bystanders and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-006484
